company_id,name,link,link_google,thumbnail
1,Company_1,https://company1.com,https://google.com/search?q=company1,https://company1.com/logo.png
2,Company_2,https://company2.com,https://google.com/search?q=company2,https://company2.com/logo.png
3,Company_3,https://company3.com,https://google.com/search?q=company3,https://company3.com/logo.png
4,Company_4,https://company4.com,https://google.com/search?q=company4,https://company4.com/logo.png
5,Company_5,https://company5.com,https://google.com/search?q=company5,https://company5.com/logo.png
6,Company_6,https://company6.com,https://google.com/search?q=company6,https://company6.com/logo.png
7,Company_7,https://company7.com,https://google.com/search?q=company7,https://company7.com/logo.png
8,Company_8,https://company8.com,https://google.com/search?q=company8,https://company8.com/logo.png
9,Company_9,https://company9.com,https://google.com/search?q=company9,https://company9.com/logo.png
10,Company_10,https://company10.com,https://google.com/search?q=company10,https://company10.com/logo.png
11,Company_11,https://company11.com,https://google.com/search?q=company11,https://company11.com/logo.png
12,Company_12,https://company12.com,https://google.com/search?q=company12,https://company12.com/logo.png
13,Company_13,https://company13.com,https://google.com/search?q=company13,https://company13.com/logo.png
14,Company_14,https://company14.com,https://google.com/search?q=company14,https://company14.com/logo.png
15,Company_15,https://company15.com,https://google.com/search?q=company15,https://company15.com/logo.png
16,Company_16,https://company16.com,https://google.com/search?q=company16,https://company16.com/logo.png
17,Company_17,https://company17.com,https://google.com/search?q=company17,https://company17.com/logo.png
18,Company_18,https://company18.com,https://google.com/search?q=company18,https://company18.com/logo.png
19,Company_19,https://company19.com,https://google.com/search?q=company19,https://company19.com/logo.png
20,Company_20,https://company20.com,https://google.com/search?q=company20,https://company20.com/logo.png
21,Company_21,https://company21.com,https://google.com/search?q=company21,https://company21.com/logo.png
22,Company_22,https://company22.com,https://google.com/search?q=company22,https://company22.com/logo.png
23,Company_23,https://company23.com,https://google.com/search?q=company23,https://company23.com/logo.png
24,Company_24,https://company24.com,https://google.com/search?q=company24,https://company24.com/logo.png
25,Company_25,https://company25.com,https://google.com/search?q=company25,https://company25.com/logo.png
26,Company_26,https://company26.com,https://google.com/search?q=company26,https://company26.com/logo.png
27,Company_27,https://company27.com,https://google.com/search?q=company27,https://company27.com/logo.png
28,Company_28,https://company28.com,https://google.com/search?q=company28,https://company28.com/logo.png
29,Company_29,https://company29.com,https://google.com/search?q=company29,https://company29.com/logo.png
30,Company_30,https://company30.com,https://google.com/search?q=company30,https://company30.com/logo.png
31,Company_31,https://company31.com,https://google.com/search?q=company31,https://company31.com/logo.png
32,Company_32,https://company32.com,https://google.com/search?q=company32,https://company32.com/logo.png
33,Company_33,https://company33.com,https://google.com/search?q=company33,https://company33.com/logo.png
34,Company_34,https://company34.com,https://google.com/search?q=company34,https://company34.com/logo.png
35,Company_35,https://company35.com,https://google.com/search?q=company35,https://company35.com/logo.png
36,Company_36,https://company36.com,https://google.com/search?q=company36,https://company36.com/logo.png
37,Company_37,https://company37.com,https://google.com/search?q=company37,https://company37.com/logo.png
38,Company_38,https://company38.com,https://google.com/search?q=company38,https://company38.com/logo.png
39,Company_39,https://company39.com,https://google.com/search?q=company39,https://company39.com/logo.png
40,Company_40,https://company40.com,https://google.com/search?q=company40,https://company40.com/logo.png
41,Company_41,https://company41.com,https://google.com/search?q=company41,https://company41.com/logo.png
42,Company_42,https://company42.com,https://google.com/search?q=company42,https://company42.com/logo.png
43,Company_43,https://company43.com,https://google.com/search?q=company43,https://company43.com/logo.png
44,Company_44,https://company44.com,https://google.com/search?q=company44,https://company44.com/logo.png
45,Company_45,https://company45.com,https://google.com/search?q=company45,https://company45.com/logo.png
46,Company_46,https://company46.com,https://google.com/search?q=company46,https://company46.com/logo.png
47,Company_47,https://company47.com,https://google.com/search?q=company47,https://company47.com/logo.png
48,Company_48,https://company48.com,https://google.com/search?q=company48,https://company48.com/logo.png
49,Company_49,https://company49.com,https://google.com/search?q=company49,https://company49.com/logo.png
50,Company_50,https://company50.com,https://google.com/search?q=company50,https://company50.com/logo.png
